1749461324, create type house 6 1 name str origin str leader str military_strength int wealth int spice_production int, success
1749461324, create record house Atreides Caladan Duke 8000 5000 150, success
1749461325, create record house Harkonnen GiediPrime Baron 12000 3000 200, success
1749461325, create type fremen 5 1 name str tribe str skill_level int allegiance str age int, success
1749461325, create record fremen Stilgar SietchTabr 9 Atreides 45, success
1749461325, create record fremen Chani SietchTabr 8 Atreides 30, success
1749461325, delete record house Corrino, failure
1749461325, search record fremen Stilgar, success
1749461325, search record house Atreides, success
1749461325, delete record fremen Chani, success
1749461325, search record fremen Chani, failure
